COVID-19 Vaccinations in the United States
Date generated: Sat Mar 19 2022 12:01:42 GMT-0400 (Eastern Daylight Time)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna or J&J.

State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 12+ who have received a booster dose,Percent of fully vaccinated people 12+ with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
United States,698418075,210361,270432,558121108,168104,504932331,195513,254870034,76.8,227790792,88.2,216952347,65.3,194429216,75.3,409361615,258601560,30454900,0,18541165,209762865,329298296,518782,75636164,124343478,16825111,147594,75549150,101946032,16793905,140129,N/A,76.8,N/A,88.2,62,183379283,71,254870034,56203642,95,48720428,88.9,23226596,23079066,2351371,63395,137681906,251281,1274670,245037385,86.4,209145364,73.8,75629936,116549543,16820101,145784,540384433,190598,246338,254784606,81.6,216921297,69.5,75633020,124318760,16822059,147458,558006503,178696,223662,96439386,44.5,96419026,46.1,93087720,47.9,32600730,66.9,41618624,53339189,1455396,26177,48491879,36078619,5318110,N/A,49796689,38793141,1357186,25972,45069294,3378743,33232,10610,2853549,33182681,33551,8838,1830363,2196047,1290101,1599,43483,35670,302,4925,92.9,7,0.1,0,7.9,92,0.1,0,34.4,41.3,24.3,0,51.5,42.3,0.4,5.8
Alaska,1469265,200844,266383,1108238,151493,994208,180253,504638,69,447375,81.1,449438,61.4,400346,72.6,818145,567420,83700,0,46194,426785,634274,985,159724,248230,41368,116,159291,199742,41203,110,N/A,69,N/A,81.1,56.8,366925,66.5,504638,86034,93.9,78305,85.5,42929,31655,3677,44,213579,233195,1604210,483212,79.4,432639,71.1,159717,231445,41361,116,1069445,175642,241307,504392,74.1,449338,66,159719,248140,41363,116,1107893,162814,215921,188137,41.9,188063,43.5,180968,45.2,56043,71.6,83607,101660,2846,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,9355140,190797,245228,6141345,125252,5733887,150303,3047316,62.1,2822044,74,2477863,50.5,2309654,60.5,4903480,4055860,395800,0,175964,2674359,3290532,490,1022016,1290651,164525,671,1021513,1123048,164427,666,N/A,62.1,N/A,74,48.1,2190898,57.4,3047316,810110,95,690565,81.3,366645,286604,36892,424,1839622,216468,1100820,2984623,71.3,2437544,58.2,1021996,1250363,164514,671,6035752,144159,223439,3046886,66.1,2477799,53.8,1022012,1290600,164516,671,6140860,133241,202983,859864,34.7,859755,35.3,845844,36.6,395489,57.3,423982,420401,15387,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,5926980,196400,255732,4119347,136501,3758310,162160,1992300,66,1796020,77.5,1624098,53.8,1472346,63.5,3195460,2479820,251700,0,122226,1758176,2235009,3936,660243,850416,112193,1246,659063,700767,111642,874,N/A,66,N/A,77.5,51.1,1392007,60.1,1992300,496017,94.7,417075,79.6,234220,166630,15746,479,1157296,220908,1131360,1928925,75.4,1580290,61.8,660220,807094,112063,913,4012537,156908,231772,1990333,70.3,1623673,57.4,660230,850127,112072,1244,4117060,145513,209483,622702,38.3,622569,39.4,607567,41.3,262352,62.9,304434,308001,9811,456,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,114610,241834,365757,99984,210972,74084,236426,44318,93.5,31639,95,39796,84,28355,90.5,90510,23500,600,0,564,23590,75291,539,9263,29688,576,269,9242,18271,575,267,N/A,93.5,N/A,95,83.2,27999,89.4,44318,3104,94.7,2836,86.5,1174,1630,27,5,7646,233252,3496340,38247,95,34446,93.3,9262,24339,576,269,88490,239700,310453,44310,95,39796,92.3,9263,29688,576,269,99976,231909,265855,16481,41.4,16473,47.8,14798,52.2,1831,64.6,4070,12411,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,14238520,195619,252524,11669946,160330,10521392,186600,5235423,71.9,4636195,82.2,4408271,60.6,3948976,70,8178100,5454920,605500,0,364906,4587106,6691577,26357,1622990,2447963,330262,7056,1622244,1990011,329793,6928,N/A,71.9,N/A,82.2,57.3,3710126,65.8,5235423,1284104,95,1113517,85.1,542432,516824,50516,3745,3268343,249752,1088050,5023034,80.9,4263012,68.7,1622936,2303030,330016,7030,11302633,182123,229429,5234451,76.4,4407966,64.4,1622973,2447912,330025,7056,11668824,170374,207894,1774595,40.3,1773956,41.6,1710616,43.3,662338,59.5,781316,968966,23008,1305,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,337030,N/A,N/A,309149,N/A,309147,N/A,143351,N/A,143349,N/A,133146,N/A,133145,N/A,170610,150320,16100,0,14162,139802,155153,32,52732,66934,13480,0,52732,66934,13479,0,N/A,N/A,N/A,N/A,0,123028,0,143351,3926,0,3649,0,1757,1696,196,0,9857,0,0,143349,0,133145,0,52732,66934,13479,0,309147,0,0,143349,0,133145,0,52732,66934,13479,0,309147,0,0,45241,34,45241,34,45241,34,2444,67,27748,16828,643,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,86911385,219961,283861,72276683,182922,64441203,210471,32512864,82.3,28580799,93.3,28017316,70.9,24663976,80.6,52139005,31077180,3695200,0,2290330,26941385,43029527,15441,9613706,16320861,2077819,4930,9586893,13002653,2069868,4562,N/A,82.3,N/A,93.3,67.8,23455967,76.6,32512864,5989109,95,5195734,89,2625335,2367269,201660,1470,14752187,252688,1488690,31060614,92.3,26834254,79.8,9612919,15139271,2077195,4869,69642410,206984,258309,32492939,87.5,28007526,75.4,9613395,16311766,2077436,4929,72247225,194587,234083,13762379,49.1,13760426,51.3,13191085,53.5,3709934,71.4,5950159,7594338,217340,542,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,11989875,208203,266488,10400295,180600,9371114,208283,4531482,78.7,4020574,89.4,4006691,69.6,3566162,79.3,7087435,4414940,487500,0,339175,4020892,6030637,9591,1427338,2266092,310610,2651,1426698,1826654,310260,2550,N/A,78.7,N/A,89.4,66.3,3380259,75.1,4531482,853315,95,776226,92.1,369947,376564,28832,883,2229330,264637,1423280,4334131,87.8,3845921,77.9,1427263,2105436,310584,2638,10041066,203423,242904,4530062,83.5,4006614,73.8,1427323,2266049,310591,2651,10398815,191629,220949,2025369,50.5,2024964,52.7,1947413,54.6,576156,74.2,899991,1099319,25559,500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,8399135,235581,295969,7354764,206288,6596063,232432,3364453,94.4,2984578,95,2787629,78.2,2469836,87,4824775,3233060,341300,0,247837,2776768,4328938,1221,941151,1616060,229970,448,940614,1299099,229780,343,N/A,94.4,N/A,95,74.2,2326164,82,3364453,730515,95,601643,95,236487,342348,22706,102,1776070,281807,1332680,3226152,95,2674313,86.1,940821,1503161,229886,445,7101544,228643,270421,3362959,95,2787184,82.4,940943,1615904,229890,447,7352859,217310,248232,1404989,50.4,1404831,52.5,1348420,54.6,445089,74,643811,743940,17217,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
